geography,indicator,hypothesis,phase,article value,P5,P50,P95,P5 vs article (%),P95 vs article (%)
World,Net operating surplus (M EUR),B2,Phase 2,240.03695914854669,223.2683368860036,246.78208488967167,261.8153727107354,-6.985850146587569,9.072941783398925
World,Net operating surplus (M EUR),B2,Phase 3,765.2674914826005,698.0575902909328,775.1573433122834,823.3069540290551,-8.782537078826868,7.584205940070854
World,Net operating surplus (M EUR),B2,All phases,1162.2902191865016,1060.1418641980015,1174.9482801251831,1246.9103602433424,-8.788541218216118,7.280465727059737
World,Net operating surplus (M EUR),B3,Phase 1,153.47793043128092,133.18410196814267,150.255711518953,166.35610916582993,-13.222636248815412,8.390899394043604
World,Net operating surplus (M EUR),B3,Phase 2,225.6468134865202,197.32250301407672,223.43680643425563,243.81659198785414,-12.552497433842792,8.052308924991491
World,Net operating surplus (M EUR),B3,Phase 3,685.2745013961777,619.0324562310188,696.6315013740626,744.8756752132542,-9.666497882264313,8.697415954576627
World,Net operating surplus (M EUR),B3,All phases,1064.3992453139788,953.738245813946,1070.026897773464,1152.028876967138,-10.396568767520098,8.232778446522682
Denmark,Net operating surplus (M EUR),A1,Phase 1,22.34353321077863,16.784072823363687,24.42560811856532,31.835097649575264,-24.881742448562406,42.48014111849534
Denmark,Net operating surplus (M EUR),A1,Phase 2,38.60740565872248,30.265956655006246,44.11696012127121,60.466001570033676,-21.60582629522445,56.61762436081415
Denmark,Net operating surplus (M EUR),A1,Phase 3,100.23950145030219,72.66197020126137,104.21349910865499,162.35422398241954,-27.51164047111059,61.96631231542313
Denmark,Net operating surplus (M EUR),A1,All phases,161.1904403198033,121.09171546011213,173.53809618317868,250.4127691199417,-24.876614754656,55.352121765484654
Denmark,Net operating surplus (M EUR),A2,Phase 1,22.35959076633823,16.79975816384139,24.43540086033656,31.842128949982126,-24.865538285553157,42.40926536955947
Denmark,Net operating surplus (M EUR),A2,Phase 2,27.63800112962517,23.925732721605186,33.1311899925314,42.15989337829529,-13.43175431033905,52.54320737798981
Denmark,Net operating surplus (M EUR),A2,Phase 3,100.23950145030219,72.66197020126137,104.21349910865499,162.35422398241954,-27.51164047111059,61.96631231542313
Denmark,Net operating surplus (M EUR),A2,All phases,150.23709334626557,114.75635742182908,163.01984749901058,231.3464928202862,-23.61649519047916,53.98759897935468
Denmark,Net operating surplus (M EUR),A3,Phase 1,22.35959076633823,16.79975816384139,24.43540086033656,31.842128949982126,-24.865538285553157,42.40926536955947
Denmark,Net operating surplus (M EUR),A3,Phase 2,31.294469305990944,26.03914069940554,36.744460436280825,47.75190677351801,-16.79315458332229,52.588964863438314
Denmark,Net operating surplus (M EUR),A3,Phase 3,100.23950145030219,72.66197020126137,104.21349910865499,162.35422398241954,-27.51164047111059,61.96631231542313
Denmark,Net operating surplus (M EUR),A3,All phases,153.89356152263136,116.86976539962943,166.67631567537634,237.70354021854402,-24.05805399308877,54.459704400036046
